"SUM_caterpillar_surveys","SUM_nsurveys","truefrac","year_2024","during_cicada","site","forest_1km","calculated_mean_noise","cicada_present"
7,860,0.00813953488372093,FALSE,TRUE,"UNC Chapel Hill Campus",0.075115,0.0462206704247955,0
3,301,0.00996677740863787,TRUE,TRUE,"UNC Chapel Hill Campus",0.075115,0.0462206704247955,1
10,1216,0.00822368421052632,FALSE,FALSE,"UNC Chapel Hill Campus",0.075115,0.0462206704247955,0
0,300,0,TRUE,FALSE,"UNC Chapel Hill Campus",0.075115,0.0462206704247955,0
50,2006,0.0249252243270189,FALSE,TRUE,"NC Botanical Garden",0.425782,0.0550350729451114,0
14,318,0.0440251572327044,TRUE,TRUE,"NC Botanical Garden",0.425782,0.0550350729451114,1
94,2946,0.031907671418873,FALSE,FALSE,"NC Botanical Garden",0.425782,0.0550350729451114,0
38,559,0.0679785330948122,TRUE,FALSE,"NC Botanical Garden",0.425782,0.0550350729451114,0
4,126,0.0317460317460317,FALSE,TRUE,"Eno River State Park",0.93383,0.0775018086076804,0
35,400,0.0875,TRUE,TRUE,"Eno River State Park",0.93383,0.0775018086076804,1
5,125,0.04,FALSE,FALSE,"Eno River State Park",0.93383,0.0775018086076804,0
52,479,0.108559498956159,TRUE,FALSE,"Eno River State Park",0.93383,0.0775018086076804,0
155,2990,0.0518394648829431,FALSE,TRUE,"Prairie Ridge Ecostation",0.106816,0.01456446354186,0
55,600,0.0916666666666667,TRUE,TRUE,"Prairie Ridge Ecostation",0.106816,0.01456446354186,1
552,4557,0.121132323897301,FALSE,FALSE,"Prairie Ridge Ecostation",0.106816,0.01456446354186,0
69,720,0.0958333333333333,TRUE,FALSE,"Prairie Ridge Ecostation",0.106816,0.01456446354186,0
1,85,0.0117647058823529,FALSE,TRUE,"Triangle Land Conservancy - Johnston Mill Nature Preserve",0.725193,0.143014889305747,0
33,276,0.119565217391304,TRUE,TRUE,"Triangle Land Conservancy - Johnston Mill Nature Preserve",0.725193,0.143014889305747,1
6,109,0.055045871559633,FALSE,FALSE,"Triangle Land Conservancy - Johnston Mill Nature Preserve",0.725193,0.143014889305747,0
72,482,0.149377593360996,TRUE,FALSE,"Triangle Land Conservancy - Johnston Mill Nature Preserve",0.725193,0.143014889305747,0
