"","site","jd","std_dev","mean_noise"
"1","eno",137,0.0281525013386776,0.0594884739947621
"2","eno",142,0.067820519204472,0.0882721839051551
"3","eno",149,0.00660411882730549,0.0128795568228319
"4","eno",156,0.0119256024761498,0.0142205046025967
"5","eno",163,0.00485173891502911,0.0148193907337469
"6","eno",170,0.00813053385650396,0.0158828649711187
"7","eno",184,0.00733774130665541,0.0162522799228129
"8","jmill",134,0.0209057891049061,0.0553157195667683
"9","jmill",141,0.0800073461352039,0.170275328545878
"10","jmill",149,0.0244518840721796,0.061233571585353
"11","jmill",155,0.00699809692262965,0.0154560557352602
"12","jmill",162,0.00585944890961923,0.0120399921045929
"13","jmill",169,0.00141937593735683,0.00786338267855732
"14","jmill",183,0.00253631230592651,0.0100423602963106
"15","ncbg",131,0.0281099550279381,0.0844885585264221
"16","ncbg",138,0.0545879766292936,0.11689130404062
"17","ncbg",145,0.0120957360817717,0.0302925805069077
"18","ncbg",152,0.01783344875037,0.0316017154928967
"19","ncbg",159,0.0107025978793405,0.022512420343188
"20","ncbg",166,0.00600816364647804,0.0166425217746495
"21","ncbg",173,0.00980560381785828,0.0156046358416127
"22","ncbg",180,0.00496425526665642,0.0116579887044788
"23","pridge",143,0.00894848698772802,0.01456446354186
"24","pridge",150,0.00860031019841602,0.0117929818589304
"25","pridge",157,0.0108903283110429,0.0206964466107025
"26","pridge",164,0.00909977576664787,0.0114199958320852
"27","pridge",178,0.00648481229259981,0.00929373014580139
"28","unc",137,0.0292015598263108,0.0668461296175568
"29","unc",144,0.019233370796968,0.0427830938926686
"30","unc",151,0.0104716852606785,0.0314566665975744
"31","unc",158,0.0109139898108951,0.0203174627158917
"32","unc",165,0.0119479034812277,0.024615561233649
"33","unc",172,0.00965093426103,0.0185319477506571
"34","unc",179,0.0262646213787131,0.0375080158180223
